2025-11-26 19:29:06,299 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:35:53,761 -- Module:columntransformer_base.py -- ScoringEngineCard.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:35:53,761 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:35:53,761 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:35:53,871 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:35:53,871 -- Module:columntransformer_base.py -- ColTransUPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 19:35:53,872 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:35:53,872 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:35:53,982 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:35:53,982 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 19:35:54,358 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:35:54,358 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:35:54,396 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:35:54,396 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:35:54,508 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:35:54,545 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:35:54,545 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:35:54,655 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:35:54,656 -- Module:columntransformer_base.py -- ColTransUPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
